opinion_id,text,sentiment
op_093,"Investasi negatif lainnya",negatif
op_118,"Investasi negatif lainnya",negatif
op_081,"Investasi negatif lainnya",negatif
op_100,"Investasi negatif lainnya",negatif
op_088,"Investasi negatif lainnya",negatif
op_032,"Investasi positif lainnya",positif
op_167,"Investasi netral lainnya",netral
op_131,"Investasi negatif lainnya",negatif
op_151,"Investasi netral lainnya",netral
op_184,"Investasi netral lainnya",netral
op_103,"Investasi negatif lainnya",negatif
op_053,"Investasi positif lainnya",positif
op_148,"Investasi netral lainnya",netral
op_089,"Investasi negatif lainnya",negatif
op_190,"Investasi netral lainnya",netral
op_193,"Investasi netral lainnya",netral
op_180,"Investasi netral lainnya",netral
op_080,"Investasi negatif lainnya",negatif
op_002,"Reksa dana pasar uang cocok banget buat pemula seperti saya.",positif
op_012,"Investasi positif lainnya",positif
op_128,"Investasi negatif lainnya",negatif
op_159,"Investasi netral lainnya",netral
op_150,"Investasi netral lainnya",netral
op_173,"Investasi netral lainnya",netral
op_106,"Investasi negatif lainnya",negatif
op_056,"Investasi positif lainnya",positif
op_044,"Investasi positif lainnya",positif
op_111,"Investasi negatif lainnya",negatif
op_122,"Investasi negatif lainnya",negatif
op_123,"Investasi negatif lainnya",negatif
op_177,"Investasi netral lainnya",netral
op_136,"Investasi negatif lainnya",negatif
op_091,"Investasi negatif lainnya",negatif
op_126,"Investasi negatif lainnya",negatif
op_029,"Investasi positif lainnya",positif
op_104,"Investasi negatif lainnya",negatif
op_164,"Investasi netral lainnya",netral
op_162,"Investasi netral lainnya",netral
op_139,"Investasi negatif lainnya",negatif
op_003,"Senang banget bisa dapat dividen rutin dari saham blue chip.",positif
op_040,"Investasi positif lainnya",positif
op_001,"Investasi emas sangat stabil dan aman untuk jangka panjang!",positif
op_050,"Investasi positif lainnya",positif
op_187,"Investasi netral lainnya",netral
op_117,"Investasi negatif lainnya",negatif
op_055,"Investasi positif lainnya",positif
op_161,"Investasi netral lainnya",netral
op_048,"Investasi positif lainnya",positif
op_016,"Investasi positif lainnya",positif
op_143,"Saham dan crypto memerlukan analisis mendalam sebelum berinvestasi.",netral
op_195,"Investasi netral lainnya",netral
op_179,"Investasi netral lainnya",netral
op_198,"Investasi netral lainnya",netral
op_068,"Investasi positif lainnya",positif
op_043,"Investasi positif lainnya",positif
op_113,"Investasi negatif lainnya",negatif
op_142,"Reksa dana pasar uang memiliki risiko rendah dengan return moderat.",netral
op_047,"Investasi positif lainnya",positif
op_063,"Investasi positif lainnya",positif
op_020,"Investasi positif lainnya",positif
op_138,"Investasi negatif lainnya",negatif
