doc_id,text,category
doc_073,"Bagaimana strategi investasi di masa inflasi tinggi?",Strategy_Tips
doc_040,"Bagaimana cara memilih broker saham yang terpercaya?",HighRisk_Assets
doc_024,"Bagaimana cara membeli saham di Bursa Efek Indonesia?",HighRisk_Assets
doc_003,"Apa perbedaan antara investasi dan menabung di bank?",FAQ_Umum
doc_058,"Bagaimana cara memilih manajer investasi reksa dana?",LowRisk_Assets
doc_048,"Bagaimana cara membeli obligasi ritel Indonesia?",LowRisk_Assets
doc_026,"Bagaimana cara investasi Bitcoin untuk pemula?",HighRisk_Assets
doc_009,"Bagaimana cara memilih instrumen investasi yang tepat?",FAQ_Umum
doc_080,"Apa yang perlu diperhatikan dalam tax planning investasi?",Strategy_Tips
doc_027,"Apa risiko investasi di pasar saham?",HighRisk_Assets
doc_039,"Apa itu IPO dan apakah menguntungkan untuk investor?",HighRisk_Assets
doc_083,"Bagaimana cara evaluasi performa investasi secara berkala?",Strategy_Tips
doc_074,"Apa yang harus dilakukan saat pasar sedang turun?",Strategy_Tips
doc_016,"Apa itu compound interest dan bagaimana cara kerjanya?",FAQ_Umum
doc_071,"Bagaimana cara mengelola portofolio investasi dengan baik?",Strategy_Tips
doc_053,"Apa itu sukuk dan bagaimana cara belinya?",LowRisk_Assets
doc_079,"Bagaimana strategi investasi untuk dana pendidikan anak?",Strategy_Tips
doc_004,"Berapa lama waktu ideal untuk berinvestasi?",FAQ_Umum
doc_035,"Apa yang dimaksud dengan bear market dan bull market?",HighRisk_Assets
doc_076,"Apa strategi diversifikasi yang efektif?",Strategy_Tips
doc_037,"Apa risiko investasi crypto yang harus diwaspadai?",HighRisk_Assets
doc_007,"Apa itu profil risiko investor?",FAQ_Umum
doc_005,"Apa yang dimaksud dengan diversifikasi investasi?",FAQ_Umum
doc_011,"Bagaimana menghitung return on investment (ROI)?",FAQ_Umum
doc_020,"Apa pentingnya dana darurat sebelum investasi?",FAQ_Umum
doc_081,"Bagaimana cara memaksimalkan return investasi dengan risiko minimal?",Strategy_Tips
doc_038,"Bagaimana cara diversifikasi portofolio saham?",HighRisk_Assets
doc_051,"Apa perbedaan emas fisik dan emas digital?",LowRisk_Assets
doc_049,"Apa itu reksa dana pasar uang dan kelebihannya?",LowRisk_Assets
doc_023,"Apa itu saham dan bagaimana cara kerjanya?",HighRisk_Assets
doc_050,"Bagaimana cara memilih reksa dana yang aman?",LowRisk_Assets
doc_052,"Bagaimana cara investasi deposito berjangka?",LowRisk_Assets
doc_013,"Bagaimana cara mengelola emosi saat berinvestasi?",FAQ_Umum
doc_061,"Apa perbedaan reksa dana pendapatan tetap dan pasar uang?",LowRisk_Assets
doc_088,"Apa strategi investasi untuk mencapai financial freedom?",Strategy_Tips
doc_001,"Apa itu investasi dan mengapa penting untuk masa depan?",FAQ_Umum
doc_002,"Bagaimana cara memulai investasi dengan modal kecil?",FAQ_Umum
doc_064,"Bagaimana cara monitoring performa reksa dana?",LowRisk_Assets
doc_032,"Bagaimana cara investasi Ethereum dan altcoin lainnya?",HighRisk_Assets
doc_010,"Apa yang harus dilakukan sebelum mulai berinvestasi?",FAQ_Umum
doc_029,"Apa itu trading saham harian dan risikonya?",HighRisk_Assets
doc_008,"Apakah investasi cocok untuk semua orang?",FAQ_Umum
doc_065,"Apa strategi investasi obligasi untuk pensiun?",LowRisk_Assets
doc_018,"Apa yang harus dilakukan jika investasi rugi?",FAQ_Umum
doc_062,"Bagaimana cara investasi emas untuk dana darurat?",LowRisk_Assets
doc_028,"Bagaimana cara analisis fundamental saham?",HighRisk_Assets
doc_084,"Apa tips psikologi investasi untuk menghindari panic selling?",Strategy_Tips
